id_str,posted_by,type,score,ratio
1787233690013085958,CBSNews,negative,-0.100077,-0.386563
1787229532241469749,CBSNews,positive,0.372895,1
1787227016363655514,CBSNews,negative,-0.0743747,-0.221633
1787219465358147929,CBSNews,negative,-0.46719,-0.413408
1787210658611662962,CBSNews,negative,-0.0523246,-0.264937
1787205626596139152,CBSNews,positive,0.109084,0.603953
1787201613808963872,CBSNews,negative,-0.132705,-0.474992
1787197994225332493,CBSNews,negative,-0.0845654,-0.269177
1787195709436871073,CBSNews,positive,0.268907,0.291108
1787195691791434236,CBSNews,positive,0.116107,0.280769
1787195614653984967,CBSNews,negative,-0.379475,-1
1787195605036511305,CBSNews,positive,0.0753105,0.581039
1787195558047723729,CBSNews,positive,0.133771,0.600922
1787190527298798014,CBSNews,neutral,0.00648753,0.0242646
1787188460811440457,CBSNews,negative,-0.172253,-0.532623
1787180138548912381,CBSNews,negative,-0.189071,-0.583887
1787166757003608102,CBSNews,negative,-0.224413,-0.560588
1787165366159822977,CBSNews,positive,0.057688,0.365399
1787156208471671082,CBSNews,positive,0.0724915,0.553238
1787156199713972273,CBSNews,positive,0.0544242,0.392269
1787150261246390479,CBSNews,negative,-0.0632706,-0.179143
1787147738984984583,CBSNews,negative,-0.156543,-0.474359
1787147720546734213,CBSNews,positive,0.129137,1
1787147710895645084,CBSNews,negative,-0.126361,-0.48349
1787147703954083876,CBSNews,positive,0.149147,0.358655
1787147694370095477,CBSNews,positive,0.197546,0.487998
1787147676322042333,CBSNews,neutral,0.021894,0.452159
1787140765946179791,CBSNews,negative,-0.569059,-1
1787127611354730685,CBSNews,positive,0.349521,1
1787120064845451367,CBSNews,positive,0.310224,0.784936
1787112512573325748,CBSNews,negative,-0.18164,-0.580875
1787104964055126044,CBSNews,negative,-0.222833,-0.611566
1787098382818762993,CBSNews,neutral,0.0120097,0.0539691
1787059663806119971,CBSNews,neutral,0.0186639,0.203255
1787044565498675228,CBSNews,positive,0.581119,1
1787029467447075006,CBSNews,negative,-0.199344,-0.612558
1787014368791556336,CBSNews,positive,0.158088,0.249535
1786999265039991078,CBSNews,positive,0.259919,0.511449
1786991717809271231,CBSNews,negative,-0.312107,-0.798795
1786985426533704096,CBSNews,positive,0.150051,0.763243
1786970327500587093,CBSNews,positive,0.0670665,0.461846
1786962775152930922,CBSNews,neutral,0.00772932,0.628944
1786955224462029258,CBSNews,negative,-0.213291,-0.666044
1786947678204563775,CBSNews,positive,0.0506499,0.108044
1786940127882744297,CBSNews,positive,0.0551203,0.498437
1786936916815819236,CBSNews,negative,-0.441238,-0.837265
1786932577388933389,CBSNews,positive,0.171925,0.596359
1786925026530238482,CBSNews,negative,-0.317383,-0.818356
1786917475944161377,CBSNews,neutral,-0.0125223,-0.0657611
1786915215772471346,CBSNews,positive,0.264352,0.850286
1786915206490415365,CBSNews,positive,0.0780884,0.162906
1786915195237142993,CBSNews,positive,0.360805,0.830974
1786915180309627194,CBSNews,negative,-0.0598616,-0.189344
1786915167655317910,CBSNews,negative,-0.13297,-1
1786915159879066067,CBSNews,negative,-0.194221,-0.560877
1786915152245452883,CBSNews,positive,0.284285,0.428361
1786915143441694792,CBSNews,neutral,-0.0209091,-0.0515717
1786915136856580419,CBSNews,neutral,-0.0445418,-0.163426
1786908389659889914,CBSNews,negative,-0.0949875,-0.201581
1786901747786559520,CBSNews,positive,0.199673,0.744465
1786897958094414130,CBSNews,positive,0.242707,0.53385
1786886772653518968,CBSNews,negative,-0.132654,-0.58297
1786879300802584858,CBSNews,negative,-0.0777685,-0.375758
1786874718467100913,CBSNews,neutral,-0.0332757,-0.46061
1786863370789855235,CBSNews,positive,0.149974,0.724424
1786861243027881991,CBSNews,positive,0.267045,1
1786848273833021550,CBSNews,neutral,-0.00910148,-0.0657605
1786844178543956229,CBSNews,negative,-0.0750947,-0.193563
1786840722374578595,CBSNews,positive,0.0642681,0.555374
1786836712964141297,CBSNews,positive,0.146068,0.826796
1786836665308434759,CBSNews,neutral,0.00397477,-0.327614
1786833172702929110,CBSNews,negative,-0.115754,-0.366666
1786825622074900679,CBSNews,neutral,-0.00286765,-0.00803464
1786813041163509793,CBSNews,positive,0.0555168,0.340749
1786808004437848491,CBSNews,positive,0.366371,1
1786802976314490896,CBSNews,positive,0.15206,1
1786797939391639971,CBSNews,positive,0.0851191,0.197946
1786792908147875947,CBSNews,negative,-0.609954,-0.922202
1786787872609058928,CBSNews,negative,-0.0978121,-0.159587
1786782840127922504,CBSNews,negative,-0.129527,-1
1786777808934461735,CBSNews,negative,-0.373819,-0.760193
1786772774297423945,CBSNews,negative,-0.298713,-1
1786770651644150172,CBSNews,neutral,-0.00440184,-0.513916
1786770635819020737,CBSNews,neutral,-0.0297477,-0.147442
